pokemonId,latitude,longitude,appearedLocalTime,cluster
13,29.940921,-90.075589,2016-09-07T22:45:26,4
19,48.744346,2.406184,2016-09-07T22:45:25,3
63,48.742578,2.408136,2016-09-07T22:45:24,3
41,35.147956,-120.648706,2016-09-07T22:45:24,2
46,39.694724,-84.101245,2016-09-07T22:45:22,4
96,52.399072,16.927427,2016-09-07T22:45:20,3
69,41.601821,-87.844424,2016-09-07T22:45:20,4
43,39.741971,-84.084742,2016-09-07T22:45:20,4
41,48.746577,2.400854,2016-09-07T22:45:20,3
16,38.853036,-77.342986,2016-09-07T22:45:20,4
16,39.526102,-84.364843,2016-09-07T22:45:20,4
41,-22.916439,-43.250904,2016-09-07T22:45:17,1
19,52.402224,16.929284,2016-09-07T22:45:17,3
133,39.741277,-84.091591,2016-09-07T22:45:15,4
13,41.598848,-87.843810,2016-09-07T22:45:15,4
104,60.512791,4.907930,2016-09-07T22:45:14,3
21,48.582075,7.747981,2016-09-07T22:45:14,3
48,39.647907,-77.708409,2016-09-07T22:45:13,4
19,26.383066,-80.084877,2016-09-07T22:45:11,4
99,38.857511,-77.345678,2016-09-07T22:45:09,4
16,26.339042,-80.109401,2016-09-07T22:45:08,4
41,39.524532,-84.357368,2016-09-07T22:45:06,4
43,38.831680,-77.085091,2016-09-07T22:45:02,4
54,38.829582,-77.089317,2016-09-07T22:45:01,4
21,39.523674,-84.356300,2016-09-07T22:45:01,4
21,48.582494,7.749941,2016-09-07T22:45:01,3
74,36.781649,-119.763912,2016-09-07T22:45:01,2
96,52.996386,6.549282,2016-09-07T22:44:59,3
21,49.155268,-123.019033,2016-09-07T22:44:59,2
46,41.604688,-87.839358,2016-09-07T22:44:58,4
120,-22.920656,-43.251660,2016-09-07T22:44:54,1
19,48.584483,7.746117,2016-09-07T22:44:53,3
21,42.280122,-87.837592,2016-09-07T22:44:52,4
118,-37.574980,143.861542,2016-09-07T22:44:50,0
96,43.768367,-79.214582,2016-09-07T22:44:50,4
96,43.772417,-79.214406,2016-09-07T22:44:46,4
41,47.662474,-122.300042,2016-09-07T22:44:43,2
41,48.742879,2.405008,2016-09-07T22:44:43,3
16,48.583138,7.754390,2016-09-07T22:44:42,3
16,25.722977,-100.369572,2016-09-07T22:44:42,2
13,41.599304,-87.843196,2016-09-07T22:44:42,4
104,35.539195,139.459351,2016-09-07T22:44:42,0
16,47.660914,-122.293017,2016-09-07T22:44:41,2
13,39.747414,-84.089198,2016-09-07T22:44:38,4
19,36.855012,-121.423609,2016-09-07T22:44:37,2
39,39.524249,-84.358189,2016-09-07T22:44:36,4
10,39.524699,-84.360818,2016-09-07T22:44:35,4
21,39.523540,-84.358518,2016-09-07T22:44:34,4
16,38.833738,-77.082663,2016-09-07T22:44:31,4
19,48.585552,7.757092,2016-09-07T22:44:30,3
13,50.134034,14.125635,2016-09-07T22:44:29,3
16,48.743032,2.405196,2016-09-07T22:44:27,3
10,39.747202,-84.091344,2016-09-07T22:44:26,4
16,39.760728,-84.054529,2016-09-07T22:44:25,4
133,39.741893,-84.092664,2016-09-07T22:44:25,4
19,29.936674,-90.074421,2016-09-07T22:44:24,4
32,35.147517,-120.648886,2016-09-07T22:44:24,2
66,39.643056,-77.706888,2016-09-07T22:44:21,4
19,37.603588,-77.377975,2016-09-07T22:44:20,4
129,40.923402,9.515251,2016-09-07T22:44:18,3
16,48.581412,7.749644,2016-09-07T22:44:16,3
131,40.923457,9.510821,2016-09-07T22:44:16,3
16,25.704837,-80.322399,2016-09-07T22:44:11,4
14,32.837498,-83.633887,2016-09-07T22:44:10,4
16,52.200302,20.964487,2016-09-07T22:44:08,3
92,53.000343,6.547826,2016-09-07T22:44:08,3
46,39.746295,-84.087713,2016-09-07T22:44:07,4
96,48.582829,7.753140,2016-09-07T22:44:06,3
13,38.974563,-77.534668,2016-09-07T22:44:06,4
18,41.851257,12.587315,2016-09-07T22:44:05,3
81,60.399214,5.303850,2016-09-07T22:44:05,3
58,26.236078,-98.196054,2016-09-07T22:44:05,2
92,53.000610,6.552147,2016-09-07T22:44:04,3
13,47.661922,-122.297710,2016-09-07T22:44:02,2
13,48.746874,2.401667,2016-09-07T22:43:59,3
60,4.812529,114.666655,2016-09-07T22:43:58,0
35,-22.916276,-43.249619,2016-09-07T22:43:58,1
13,38.977261,-77.532160,2016-09-07T22:43:56,4
19,49.154948,-123.018925,2016-09-07T22:43:55,2
129,48.583659,7.757155,2016-09-07T22:43:54,3
27,25.724468,-100.370449,2016-09-07T22:43:50,2
21,48.585784,7.750164,2016-09-07T22:43:48,3
42,52.403624,16.928503,2016-09-07T22:43:46,3
16,38.975033,-77.537535,2016-09-07T22:43:41,4
129,48.585591,7.754189,2016-09-07T22:43:38,3
43,-22.921225,-43.251962,2016-09-07T22:43:38,1
13,38.975792,-77.528218,2016-09-07T22:43:38,4
19,29.937576,-90.077925,2016-09-07T22:43:36,4
19,52.401462,16.925735,2016-09-07T22:43:35,3
32,48.740120,2.401797,2016-09-07T22:43:33,3
116,40.923521,9.510994,2016-09-07T22:43:30,3
16,39.651074,-77.706083,2016-09-07T22:43:28,4
